age,Medu,Fedu,traveltime,studytime,famrel,freetime,goout,Dalc,Walc,health,sex_M,address_U,famsize_LE3,Pstatus_T,nursery,plans_university,past_failures,visits,support
0.29,1.0,0.75,0.5,0.33,0.25,1.0,1.0,0.0,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.75,0.0
0.29,0.5,0.5,0.5,0.0,0.75,0.75,0.75,0.25,0.5,0.75,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.75,0.0
0.29,0.5,0.25,0.5,0.33,1.0,0.5,0.5,0.0,0.25,0.25,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.84,0.0
0.43,1.0,0.75,0.5,0.0,0.5,0.25,0.75,0.0,0.75,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.75,1.0
0.14,1.0,0.75,0.5,0.67,1.0,0.5,1.0,0.0,0.0,0.5,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.94,0.0
0.14,0.75,0.75,0.5,0.33,0.75,0.75,1.0,0.0,0.0,0.75,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
0.57,0.75,0.5,0.5,0.0,0.75,1.0,0.75,0.0,0.0,0.75,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.81,0.0
0.29,1.0,1.0,0.5,0.33,1.0,0.25,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0
0.14,1.0,0.5,0.0,0.33,0.75,0.25,0.5,0.0,0.0,0.5,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0
0.43,1.0,1.0,0.5,0.33,0.75,0.5,1.0,0.0,0.25,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.29,0.5,0.75,0.5,0.33,1.0,0.5,0.5,0.0,0.5,0.5,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
0.43,0.5,0.5,0.5,0.67,0.75,0.5,0.5,0.0,0.25,0.25,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0
0.14,0.75,0.25,0.5,1.0,0.75,0.5,0.25,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.94,1.0
0.29,1.0,1.0,0.5,0.0,0.75,0.25,0.0,0.0,0.0,0.75,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
0.14,0.25,0.25,0.5,1.0,0.25,0.25,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0
0.43,1.0,1.0,0.5,0.67,0.75,0.25,0.25,0.25,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
0.29,0.75,0.75,0.5,0.0,0.75,0.75,0.5,0.0,0.5,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0
0.29,0.5,1.0,0.5,0.67,0.75,0.75,0.5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0
0.14,0.75,0.5,0.5,0.0,0.5,0.0,0.5,0.0,0.75,0.5,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.94,0.0
0.29,0.0,0.5,0.5,0.67,0.5,0.5,0.5,0.25,0.5,0.25,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
0.29,0.75,0.75,0.5,1.0,1.0,0.75,1.0,0.5,0.75,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.33,1.0,0.0
0.14,1.0,0.5,0.5,0.33,0.75,1.0,0.0,0.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
0.43,1.0,1.0,0.5,0.0,0.75,0.75,0.5,0.25,0.25,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.88,0.0
0.43,0.75,0.75,0.5,0.33,0.5,0.25,0.75,0.25,0.75,0.75,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.69,0.0
0.14,0.5,0.5,0.5,0.0,0.75,0.25,1.0,0.0,0.25,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0
0.0,1.0,0.75,0.5,0.0,0.75,1.0,1.0,0.0,0.5,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.81,0.0
0.29,0.25,0.25,0.5,0.0,0.75,0.75,0.75,0.0,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.33,1.0,0.0
0.14,0.25,0.5,0.5,0.33,0.75,0.5,0.5,0.0,0.25,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0
0.14,1.0,0.75,0.5,0.33,0.0,0.5,0.25,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.88,0.0
0.29,0.75,0.5,0.5,0.33,0.75,0.5,0.25,0.25,0.5,0.25,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0
0.0,1.0,0.5,0.5,0.67,1.0,0.5,0.5,0.0,0.5,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.88,0.0
0.43,1.0,1.0,0.5,0.0,0.0,0.75,0.25,0.25,0.25,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
0.14,1.0,1.0,0.5,0.33,0.75,0.75,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.88,0.0
0.43,0.5,0.5,0.5,0.33,0.25,0.5,0.5,0.0,0.25,0.75,0.0,0.0,1.0,1.0,1.0,1.0,0.33,0.91,0.0
0.29,1.0,1.0,0.5,0.0,1.0,0.25,0.5,0.0,0.25,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.88,0.0
0.0,0.5,0.25,0.5,0.33,1.0,0.75,0.25,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.88,0.0
0.29,0.5,0.5,0.5,0.33,0.75,0.75,0.25,1.0,1.0,0.75,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
0.43,0.5,0.5,0.5,0.33,0.75,0.5,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.94,1.0
0.0,0.75,0.5,0.5,0.33,0.75,0.5,1.0,0.0,0.0,0.25,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.5,0.0
0.0,1.0,0.75,0.5,0.33,0.75,0.5,0.25,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
0.43,0.75,0.5,0.5,0.0,0.25,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.75,0.0
0.29,0.5,0.5,0.5,0.33,0.75,0.25,0.25,0.0,0.0,0.5,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.88,0.0
0.14,0.5,0.25,0.5,0.0,0.75,0.75,0.75,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.33,0.81,0.0
0.43,0.25,0.25,0.5,0.33,0.5,0.75,0.75,0.25,0.25,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.67,0.91,0.0
0.14,0.5,0.25,0.5,0.33,0.75,0.25,0.5,0.0,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
0.43,0.5,0.5,0.5,0.0,0.75,0.5,1.0,0.25,0.75,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.94,0.0
0.43,1.0,1.0,0.5,0.67,1.0,0.75,0.75,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
0.14,0.75,0.5,0.5,0.33,0.0,0.25,0.25,0.0,0.25,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.75,0.0
0.57,0.25,0.25,0.5,0.33,0.75,0.5,0.5,0.0,0.0,0.5,0.0,0.0,0.0,1.0,1.0,1.0,0.33,0.88,0.0
0.14,1.0,1.0,0.5,0.67,1.0,0.75,1.0,0.0,0.0,0.75,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.94,1.0
0.71,0.25,0.0,0.5,0.0,1.0,0.5,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.33,0.84,0.0
0.29,0.25,0.25,0.5,0.67,0.75,0.5,0.5,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.94,0.0
0.43,0.25,0.25,0.5,0.67,0.75,0.5,0.25,0.0,0.25,0.75,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.88,0.0
0.0,0.75,0.75,0.5,0.0,1.0,0.5,0.75,0.75,0.75,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0
0.14,0.5,0.25,0.5,0.0,0.25,0.75,0.5,0.25,0.5,0.75,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.88,0.0
0.43,0.5,0.5,0.5,0.33,0.75,0.0,0.75,0.0,0.5,0.75,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.69,0.0
0.14,0.75,1.0,0.5,0.33,0.75,0.25,0.0,0.0,0.0,0.25,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.94,0.0
0.0,1.0,1.0,0.5,0.0,1.0,0.75,0.25,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0
0.43,0.25,0.5,0.5,0.33,0.75,0.0,0.0,0.0,0.0,0.75,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
0.43,0.25,0.75,0.5,0.0,0.75,0.5,0.5,0.25,0.5,0.5,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0
0.29,1.0,0.75,0.5,0.33,0.5,0.25,0.5,0.0,0.25,0.5,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
0.57,0.5,0.25,0.5,0.0,1.0,0.5,0.75,0.0,0.75,0.75,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.69,0.0
0.43,0.75,0.5,0.5,0.67,0.75,0.5,0.75,0.0,0.25,0.25,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.84,0.0
0.0,1.0,1.0,0.5,0.33,1.0,0.75,0.25,0.5,0.75,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.0,1.0,0.75,0.5,0.33,0.75,0.75,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0
0.0,1.0,1.0,0.5,0.0,1.0,0.75,0.5,0.25,0.75,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.75,0.0
0.29,0.75,1.0,0.5,0.33,1.0,0.75,1.0,0.25,0.75,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.94,0.0
0.14,0.25,0.25,0.5,0.33,1.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0
0.29,0.75,0.75,0.5,0.67,0.5,0.25,0.5,0.0,0.0,0.75,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.94,0.0
0.14,1.0,1.0,0.5,0.33,0.75,0.75,0.25,0.0,0.0,0.5,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0
0.14,0.5,0.5,0.5,0.0,0.0,0.25,0.25,0.0,0.5,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.81,0.0
0.14,1.0,1.0,0.5,0.0,1.0,0.0,0.5,0.0,0.25,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.97,0.0
0.0,1.0,0.5,0.5,1.0,0.5,0.5,0.5,0.0,0.0,0.5,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0
0.43,0.5,0.25,0.5,0.67,0.75,0.75,0.75,0.0,0.0,0.5,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.69,0.0
0.29,1.0,1.0,0.5,0.0,0.75,0.25,0.75,0.25,0.5,0.25,0.0,1.0,0.0,1.0,1.0,1.0,0.33,0.06,0.0
0.57,0.25,0.25,0.5,0.0,1.0,1.0,1.0,0.25,0.5,0.25,0.0,1.0,0.0,1.0,1.0,0.0,0.33,1.0,0.0
0.57,1.0,1.0,0.5,0.0,0.5,0.25,1.0,0.75,0.75,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.33,0.84,0.0
0.29,0.5,0.5,0.5,0.33,1.0,0.75,1.0,0.0,0.25,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.62,0.0
0.0,1.0,1.0,0.5,0.33,0.5,0.25,0.25,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.75,0.0
0.43,1.0,1.0,0.5,0.0,1.0,0.75,1.0,0.0,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.91,0.0
0.0,1.0,1.0,0.5,1.0,0.0,0.5,1.0,0.5,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.75,0.0
0.29,0.25,0.25,0.5,0.0,0.5,1.0,1.0,0.25,0.25,0.75,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.91,0.0
0.43,0.5,0.5,0.5,0.33,0.5,0.5,0.5,1.0,1.0,0.75,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.72,1.0
0.14,0.25,0.25,0.5,0.33,0.5,0.75,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
0.29,0.75,0.5,0.5,0.0,0.75,1.0,0.25,0.0,0.0,0.25,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.69,0.0
0.29,0.25,0.25,0.5,0.67,0.75,0.5,0.5,0.0,0.0,0.5,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
0.43,0.25,0.25,0.5,0.33,0.25,0.5,1.0,0.0,0.75,0.5,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.75,0.0
0.43,1.0,0.5,0.5,0.33,0.75,0.25,0.25,0.0,0.0,0.5,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
0.14,1.0,1.0,0.5,0.67,1.0,0.5,0.25,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.88,0.0
0.14,1.0,1.0,0.5,0.0,0.5,0.75,0.75,0.0,0.75,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.88,0.0
0.0,0.25,0.25,0.5,0.0,0.75,0.75,0.5,0.0,0.25,0.25,0.0,0.0,1.0,1.0,1.0,1.0,0.33,0.88,0.0
0.14,0.5,0.5,0.5,0.67,1.0,0.0,0.5,0.25,0.25,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
0.29,0.25,0.25,0.5,0.33,0.75,0.5,0.25,0.0,0.0,0.75,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.69,0.0
0.43,0.5,0.75,0.5,0.67,0.75,0.5,0.5,0.0,0.25,0.5,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0
0.29,0.5,0.5,0.5,0.0,0.5,0.0,0.25,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.33,0.75,0.0
0.29,0.25,0.25,0.5,0.33,0.75,1.0,1.0,0.0,0.25,0.5,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.94,0.0
0.29,0.5,1.0,0.5,0.33,1.0,0.75,0.25,0.25,0.5,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0
0.29,0.75,0.75,0.5,0.33,0.75,0.5,0.75,0.0,0.75,0.75,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.88,0.0
0.57,0.5,0.5,0.5,0.33,0.75,0.5,0.5,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0
0.57,0.5,0.75,0.5,0.67,1.0,0.75,0.25,0.0,0.25,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.33,0.88,0.0
0.14,0.25,0.5,0.5,0.0,0.5,0.5,0.5,0.0,0.25,0.5,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0
0.0,0.75,0.75,0.5,0.33,1.0,0.5,0.25,0.0,0.0,0.25,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
0.29,1.0,0.5,0.5,0.33,0.75,0.5,0.25,0.0,0.0,0.75,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.88,0.0
0.29,1.0,1.0,0.5,0.67,1.0,0.5,0.75,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0
0.29,0.25,0.25,0.5,0.33,1.0,0.5,0.5,0.0,0.0,0.5,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.94,0.0
0.14,0.0,0.5,0.5,0.0,0.75,0.5,0.25,0.25,0.75,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.57,0.5,0.25,0.5,0.0,0.75,0.75,0.5,0.0,0.5,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.88,0.0
0.43,0.5,0.5,0.5,0.67,0.75,0.5,0.5,0.0,0.0,0.5,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0
0.29,0.25,0.5,0.5,0.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.88,0.0
0.29,0.5,0.5,0.5,0.0,0.5,0.75,0.75,0.0,0.5,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.94,0.0
